support	itemsets
0.7703703703703704	frozenset({'Chest_pain_type_Very_high'})
0.5074074074074074	frozenset({'EKG_results_2'})
0.6703703703703704	frozenset({'Exercise_angina_0'})
0.8518518518518519	frozenset({'FBS_over_120_0'})
0.5555555555555556	frozenset({'Heart_Disease_A'})
0.5925925925925926	frozenset({'Number_of_vessels_fluro_Very_low'})
0.6777777777777778	frozenset({'Sex_1'})
0.562962962962963	frozenset({'Thallium_3'})
0.6592592592592592	frozenset({'Chest_pain_type_Very_high', 'FBS_over_120_0'})
0.5222222222222223	frozenset({'Chest_pain_type_Very_high', 'Sex_1'})
0.5703703703703704	frozenset({'Exercise_angina_0', 'FBS_over_120_0'})
0.5222222222222223	frozenset({'Number_of_vessels_fluro_Very_low', 'FBS_over_120_0'})
0.5703703703703704	frozenset({'FBS_over_120_0', 'Sex_1'})
