support	itemsets
0.20442708333333334	frozenset({'Age_Adult'})
0.20442708333333334	frozenset({'Age_Old'})
0.21484375	frozenset({'Age_Teen'})
0.20052083333333334	frozenset({'Age_Very_old'})
0.20182291666666666	frozenset({'BMI_Average'})
0.20182291666666666	frozenset({'BMI_High'})
0.20182291666666666	frozenset({'BMI_Low'})
0.20182291666666666	frozenset({'BMI_Very_high'})
0.19270833333333334	frozenset({'BMI_Very_low'})
0.19010416666666666	frozenset({'BloodPressure_Average'})
0.23958333333333334	frozenset({'BloodPressure_High'})
0.19791666666666666	frozenset({'BloodPressure_Low'})
0.21484375	frozenset({'BloodPressure_Very_high'})
0.20052083333333334	frozenset({'DiabetesPedigreeFunction_Average'})
0.1953125	frozenset({'DiabetesPedigreeFunction_High'})
0.19921875	frozenset({'DiabetesPedigreeFunction_Low'})
0.20442708333333334	frozenset({'DiabetesPedigreeFunction_Very_high'})
0.20052083333333334	frozenset({'DiabetesPedigreeFunction_Very_low'})
0.20182291666666666	frozenset({'Glucose_Average'})
0.203125	frozenset({'Glucose_High'})
0.20182291666666666	frozenset({'Glucose_Low'})
0.20182291666666666	frozenset({'Glucose_Very_high'})
0.19140625	frozenset({'Glucose_Very_low'})
0.19791666666666666	frozenset({'Insulin_Average'})
0.20182291666666666	frozenset({'Insulin_Very_high'})
0.6002604166666666	frozenset({'Insulin_Very_low'})
0.6510416666666666	frozenset({'Outcome_0'})
0.3489583333333333	frozenset({'Outcome_1'})
0.23177083333333334	frozenset({'Pregnancies_Average'})
0.22786458333333334	frozenset({'Pregnancies_High'})
0.22005208333333334	frozenset({'Pregnancies_Very_high'})
0.21484375	frozenset({'SkinThickness_High'})
0.20833333333333334	frozenset({'SkinThickness_Very_high'})
0.390625	frozenset({'SkinThickness_Very_low'})
0.4114583333333333	frozenset({'Outcome_0', 'Insulin_Very_low'})
0.33984375	frozenset({'SkinThickness_Very_low', 'Insulin_Very_low'})
0.265625	frozenset({'SkinThickness_Very_low', 'Outcome_0'})
0.22135416666666666	frozenset({'SkinThickness_Very_low', 'Outcome_0', 'Insulin_Very_low'})
