antecedents	consequents	antecedent support	consequent support	support	confidence	lift	leverage	conviction	zhangs_metric
frozenset({'Outcome_0'})	frozenset({'Insulin_Very_low'})	0.6510416666666666	0.6002604166666666	0.4114583333333333	0.632	1.0528763557483731	0.020663791232638895	1.0862488677536233	0.1439164934819573
frozenset({'Insulin_Very_low'})	frozenset({'Outcome_0'})	0.6002604166666666	0.6510416666666666	0.4114583333333333	0.6854663774403471	1.0528763557483731	0.020663791232638895	1.10944683908046	0.12563394219271845
frozenset({'SkinThickness_Very_low'})	frozenset({'Insulin_Very_low'})	0.390625	0.6002604166666666	0.33984375	0.87	1.4493709327548807	0.10536702473958334	3.074919871794872	0.5087926122408881
frozenset({'Insulin_Very_low'})	frozenset({'SkinThickness_Very_low'})	0.6002604166666666	0.390625	0.33984375	0.5661605206073753	1.4493709327548807	0.10536702473958334	1.4046093750000002	0.7756187053053278
frozenset({'SkinThickness_Very_low'})	frozenset({'Outcome_0'})	0.390625	0.6510416666666666	0.265625	0.68	1.04448	0.01131184895833337	1.090494791666667	0.06988436400201128
frozenset({'Outcome_0'})	frozenset({'SkinThickness_Very_low'})	0.6510416666666666	0.390625	0.265625	0.40800000000000003	1.04448	0.01131184895833337	1.0293496621621623	0.12203687445127344
frozenset({'SkinThickness_Very_low', 'Outcome_0'})	frozenset({'Insulin_Very_low'})	0.265625	0.6002604166666666	0.22135416666666666	0.8333333333333333	1.3882863340563991	0.06190999348958334	2.398437499999999	0.38085106382978734
frozenset({'SkinThickness_Very_low', 'Insulin_Very_low'})	frozenset({'Outcome_0'})	0.33984375	0.6510416666666666	0.22135416666666666	0.6513409961685823	1.0004597701149425	0.00010172526041665741	1.0008585164835164	0.0006961364427427143
frozenset({'Outcome_0', 'Insulin_Very_low'})	frozenset({'SkinThickness_Very_low'})	0.4114583333333333	0.390625	0.22135416666666666	0.5379746835443038	1.3772151898734177	0.06062825520833334	1.3189212328767124	0.4653826132222801
frozenset({'SkinThickness_Very_low'})	frozenset({'Outcome_0', 'Insulin_Very_low'})	0.390625	0.4114583333333333	0.22135416666666666	0.5666666666666667	1.3772151898734177	0.06062825520833334	1.358173076923077	0.44947209653092013
frozenset({'Outcome_0'})	frozenset({'SkinThickness_Very_low', 'Insulin_Very_low'})	0.6510416666666666	0.33984375	0.22135416666666666	0.34	1.0004597701149427	0.00010172526041665741	1.0002367424242427	0.0013169446883229705
frozenset({'Insulin_Very_low'})	frozenset({'SkinThickness_Very_low', 'Outcome_0'})	0.6002604166666666	0.265625	0.22135416666666666	0.368763557483731	1.3882863340563991	0.06190999348958334	1.163391323024055	0.6996742671009772
